Monthly Report for the month of March 2023,,,,,,,,,
Sr,Scheme Name,"No. ofSchemesas onMarch31, 2023","No. of Foliosas on March31, 2023","FundsMobilized forthe month ofMarch 2023(INR in crore)","Repurchase/Redemptionfor themonth ofMarch 2023(INR in crore)","Net AssetsUnderManagementas on March31, 2023 (INRin crore)","Average NetAssets UnderManagementfor themonth March2023 (INR incrore)","No. ofsegregatedportfolioscreatedas onMarch31, 2023","Net AssetsUnderManagement insegregated portfolioas onMarch 31,2023 (INRin crore)"
"",Sub Total - III (i+ii+iii+iv+v+vi),138,"1,21,45,563","12,239.34","24,611.38","4,78,916.83","5,01,000.44",5,35.14
"",,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,26,"27,59,419",255.17,111.35,"17,993.42","17,856.06",-,-
ii,Childrens Fund,10,"29,27,533",122.36,42.21,"14,340.11","14,229.81",-,-
"",Sub Total - IV (i+ii),36,"56,86,952",377.54,153.57,"32,333.53","32,085.87",-,-
"",,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,177,"38,53,245","33,255.67","6,027.37","1,67,517.17","1,44,601.76",-,-
ii,GOLD ETF,12,"46,99,537",373.63,640.20,"22,736.99","21,942.13",-,-
iii,Other ETFs,160,"1,20,64,198","16,145.60","16,476.20","4,84,277.18","4,79,155.28",-,-
iv,Fund of funds investing overseas,50,"13,02,024",778.00,605.04,"22,991.15","21,868.53",-,-
"",Sub Total - V (i+ii+iii+iv),399,"2,19,19,004","50,552.90","23,748.81","6,97,522.48","6,67,567.70",-,-
"",,,,,,,,,
"",Total A-Open ended Schemes,"1,278","14,52,03,038","10,11,321.58","10,33,015.49","39,07,837.70","39,72,465.97",12,35.14
"",,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,122,"1,54,962","3,878.10","1,466.34","24,372.45","22,366.76",-,-
ii,Capital Protection Oriented Schemes,7,"12,655",-,-,639.56,637.81,-,-
iii,Infrastructure Debt Fund,7,52,-,-,"1,981.98","1,976.66",-,-
iv,Other Debt Scheme,-,-,-,-,-,-,-,-
"",Sub Total (i+ii+iii+iv),136,"1,67,669","3,878.10","1,466.34","26,993.99","24,981.24",-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"2,97,534",-,28.30,"3,395.01","3,400.88",-,-
ii,Other Equity Schemes,10,"59,513",-,315.56,"2,804.69","2,881.58",-,-
"",Sub Total (i+ii),29,"3,57,047",-,343.86,"6,199.70","6,282.46",-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total B -Close ended Schemes,165,"5,24,716","3,878.10","1,810.19","33,193.69","31,263.70",-,-
"",,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,846",469.90,108.16,999.29,907.93,-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total C Interval Schemes,12,"2,846",469.90,108.16,999.29,907.93,-,-
"",,,,,,,,,
"",Grand Total,"1,455","14,57,30,600","10,15,669.58","10,34,933.85","39,42,030.68","40,04,637.60",12,35.14
"",,,,,,,,,
"",Fund of Funds Scheme (Domestic) **,"##  76","18,62,743","6,077.65","2,007.98","66,590.41","61,842.01",-,-
Monthly Report for the month of February 2023,,,,,,,,,
Sr,Scheme Name,"No. ofSchemesas onFebruary 28,2023","No. of Foliosas onFebruary 28,2023","FundsMobilized forthe month ofFebruary2023 (INR incrore)","Repurchase/Redemptionfor themonth ofFebruary2023 (INR incrore)","Net AssetsUnderManagementas onFebruary 28,2023 (INR incrore)","Average NetAssets UnderManagementfor themonthFebruary2023 (INR incrore)","No. ofsegregatedportfolioscreatedas onFebruary 28,2023","Net AssetsUnderManagement insegregated portfolioas onFebruary28, 2023(INR incrore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,32,"6,28,847","4,01,879.05","3,98,933.21","1,03,090.56","1,25,487.40",-,-
ii,Liquid Fund,36,"17,86,569","2,75,599.33","2,86,903.58","3,86,489.73","4,34,140.64",-,-
iii,Ultra Short Duration Fund,25,"6,42,322","11,619.16","14,049.13","88,805.43","89,974.07",-,-
iv,Low Duration Fund,21,"9,55,013","6,006.21","7,909.95","92,214.63","93,322.18",1,-
v,Money Market Fund,22,"4,27,033","20,864.19","21,406.58","1,18,619.65","1,19,798.63",-,-
vi,Short Duration Fund,25,"5,07,846","2,529.65","2,118.02","90,970.26","90,859.17",-,-
vii,Medium Duration Fund,15,"2,52,439",358.16,652.53,"25,866.88","26,006.12",3,-
viii,Medium to Long Duration Fund,12,"1,06,466",65.86,260.85,"8,664.21","8,757.79",-,-
ix,Long Duration Fund,6,"40,448",369.26,25.87,"4,080.62","3,926.87",-,-
x,Dynamic Bond Fund,22,"2,20,176",746.61,244.96,"23,364.69","23,198.69",-,-
xi,Corporate Bond Fund,21,"6,08,447","3,973.17","3,311.37","1,14,844.94","1,13,775.33",-,-
xii,Credit Risk Fund,15,"2,47,040",171.34,844.33,"24,409.60","24,610.70",3,-
xiii,Banking and PSU Fund,23,"2,98,204",730.17,990.30,"73,323.76","73,466.21",-,-
xiv,Gilt Fund,22,"1,71,155",621.54,170.74,"16,794.65","16,543.40",-,-
xv,Gilt Fund with 10 year constant duration,5,"41,728",191.39,54.31,"1,796.76","1,751.39",-,-
xvi,Floater Fund,12,"2,41,031","1,264.05","2,928.63","56,323.56","57,100.91",-,-
"","Sub Total - I(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",314,"71,74,764","7,26,989.12","7,40,804.35","12,29,659.94","13,02,719.50",7,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,18,"40,75,693","3,158.26","1,180.90","66,874.99","67,908.59",-,-
ii,Large Cap Fund,31,"1,29,63,430","3,049.00","2,695.12","2,35,167.67","2,40,356.50",-,-
iii,Large & Mid Cap Fund,26,"77,48,622","3,123.86","1,472.86","1,26,648.36","1,28,001.42",-,-
iv,Mid Cap Fund,29,"1,04,99,596","3,490.78","1,674.12","1,83,246.27","1,84,425.02",-,-
v,Small Cap Fund,24,"1,06,71,838","3,453.83","1,207.53","1,31,568.46","1,32,162.75",-,-
vi,Dividend Yield Fund,8,"5,96,908",128.62,80.69,"10,183.11","10,332.35",-,-
vii,Value Fund/Contra Fund,22,"46,02,572","1,445.87",732.71,"89,509.94","90,729.76",-,-
viii,Focused Fund,26,"53,21,370","1,502.51","1,262.26","99,014.41","1,00,666.60",-,-
ix,Sectoral/Thematic Funds,125,"1,31,18,546","6,554.69","2,698.79","1,68,775.22","1,69,394.32",-,-
x,ELSS,42,"1,49,68,197","2,284.40","1,303.26","1,49,998.13","1,52,361.59",-,-
xi,Flexi Cap Fund,35,"1,26,64,386","4,283.87","2,481.87","2,40,790.97","2,44,285.60",-,-
"",Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),386,"9,72,31,158","32,475.68","16,790.11","15,01,777.53","15,20,624.50",-,-
"",,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,20,"5,18,630",331.78,424.11,"22,716.05","22,912.94",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,31,"53,16,109","1,865.97","1,740.61","1,53,637.06","1,56,749.41",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,28,"44,45,077","2,965.66","2,907.85","1,91,440.46","1,94,454.69",-,-
iv,Multi Asset Allocation Fund,11,"10,31,458",863.50,352.98,"25,947.52","27,473.44",-,-
v,Arbitrage Fund,26,"4,58,666","4,958.00","4,893.36","77,229.34","90,669.40",-,-
vi,Equity Savings Fund,22,"3,63,214",334.53,540.22,"16,444.57","17,306.08",2,25.81
"",Sub Total - III (i+ii+iii+iv+v+vi),138,"1,21,33,154","11,319.44","10,859.12","4,87,415.00","5,09,565.97",5,35.14
"",,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,26,"27,53,542",211.89,111.91,"17,810.88","17,986.30",-,-
ii,Childrens Fund,10,"29,24,260",109.29,39.84,"14,169.72","14,297.23",-,-
"",Sub Total - IV (i+ii),36,"56,77,802",321.19,151.75,"31,980.60","32,283.53",-,-
"",,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,163,"35,82,822","9,476.33","3,232.03","1,38,814.08","1,36,565.99",-,-
ii,GOLD ETF,12,"46,93,916",308.26,142.83,"21,399.72","21,713.97",-,-
iii,Other ETFs,155,"1,19,63,506","14,801.20","14,772.27","4,81,776.05","4,91,599.72",-,-
iv,Fund of funds investing overseas,49,"12,74,592",444.05,394.52,"21,893.03","22,464.72",-,-
"",Sub Total - V (i+ii+iii+iv),379,"2,15,14,836","25,029.83","18,541.65","6,63,882.87","6,72,344.41",-,-
"",,,,,,,,,
"",Total A-Open ended Schemes,"1,253","14,37,31,714","7,96,135.26","7,87,146.98","39,14,715.95","40,37,537.91",12,35.14
"",,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,107,"1,37,036",954.40,105.91,"21,741.50","21,172.58",-,-
ii,Capital Protection Oriented Schemes,7,"12,654",-,-,635.81,637.08,-,-
iii,Infrastructure Debt Fund,7,52,-,-,"1,967.72","1,963.58",-,-
iv,Other Debt Scheme,-,-,-,-,-,-,-,-
"",Sub Total (i+ii+iii+iv),121,"1,49,742",954.40,105.91,"24,345.03","23,773.25",-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"2,98,874",-,28.90,"3,440.15","3,526.84",-,-
ii,Other Equity Schemes,11,"67,552",0.01,-,"3,124.51","3,165.70",-,-
"",Sub Total (i+ii),30,"3,66,426",0.01,28.90,"6,564.66","6,692.54",-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total B -Close ended Schemes,151,"5,16,168",954.41,134.81,"30,909.69","30,465.79",-,-
"",,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,874",95.34,328.05,631.31,796.55,-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total C Interval Schemes,12,"2,874",95.34,328.05,631.31,796.55,-,-
"",,,,,,,,,
"",Grand Total,"1,416","14,42,50,756","7,97,185.02","7,87,609.85","39,46,256.95","40,68,800.25",12,35.14
"",,,,,,,,,
"",Fund of Funds Scheme (Domestic) **,75,"18,51,052","1,499.88","1,548.48","61,075.61","61,742.07",-,-
Monthly Report for the month of January 2023,,,,,,,,,
Sr,Scheme Name,"No. ofSchemesas onJanuary31, 2023","No. of Foliosas on January31, 2023","FundsMobilized forthe month ofJanuary 2023(INR in crore)","Repurchase/Redemptionfor themonth ofJanuary 2023(INR in crore)","Net AssetsUnderManagementas on January31, 2023 (INRin crore)","Average NetAssets UnderManagementfor themonthJanuary 2023(INR in crore)","No. ofsegregatedportfolioscreatedas onJanuary31, 2023","Net AssetsUnderManagement insegregated portfolioas onJanuary31, 2023(INR incrore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,32,"6,23,131","4,01,691.20","4,05,379.10","99,542.47","1,15,085.43",-,-
ii,Liquid Fund,36,"17,81,851","3,38,073.43","3,43,115.11","3,95,699.87","4,57,973.25",-,-
iii,Ultra Short Duration Fund,25,"6,44,605","13,773.26","12,008.12","90,803.70","91,696.19",-,-
iv,Low Duration Fund,21,"9,64,472","5,625.47","6,401.21","93,644.91","94,340.52",1,-
v,Money Market Fund,22,"4,28,094","27,001.96","20,541.97","1,18,387.77","1,17,967.80",-,-
vi,Short Duration Fund,25,"5,11,060","1,989.47","5,848.21","90,304.91","93,259.24",-,-
vii,Medium Duration Fund,15,"2,53,176",424.35,500.65,"26,112.39","26,097.87",3,-
viii,Medium to Long Duration Fund,12,"1,06,677",65.14,71.89,"8,850.88","8,849.54",-,-
ix,Long Duration Fund,6,"39,497",269.53,29.20,"3,718.68","3,580.46",-,-
x,Dynamic Bond Fund,22,"2,19,116",547.91,494.74,"22,832.70","22,677.54",-,-
xi,Corporate Bond Fund,21,"6,11,046","3,151.11","5,484.54","1,13,809.54","1,16,184.66",-,-
xii,Credit Risk Fund,15,"2,49,244",273.32,722.58,"25,018.16","25,289.59",3,-
xiii,Banking and PSU Fund,23,"3,00,675","1,442.39","2,615.30","73,408.71","74,609.55",-,-
xiv,Gilt Fund,22,"1,70,646",400.77,457.67,"16,329.91","16,423.91",-,-
xv,Gilt Fund with 10 year constant duration,5,"41,972",84.36,21.95,"1,660.64","1,615.89",-,-
xvi,Floater Fund,12,"2,43,940","2,309.08","3,746.66","57,660.86","58,285.62",-,-
"","Sub Total - I(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",314,"71,89,202","7,97,122.76","8,07,438.91","12,37,786.11","13,23,937.06",7,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,17,"39,22,006","2,713.75",940.72,"66,099.74","65,572.43",-,-
ii,Large Cap Fund,31,"1,29,45,224","3,296.24","2,580.26","2,38,101.31","2,41,392.09",-,-
iii,Large & Mid Cap Fund,26,"76,75,827","3,077.55","1,175.55","1,26,580.53","1,27,375.54",-,-
iv,Mid Cap Fund,29,"1,03,69,025","3,563.13","1,935.07","1,83,062.72","1,83,816.94",-,-
v,Small Cap Fund,24,"1,04,30,356","3,491.35","1,235.49","1,30,890.12","1,30,535.39",-,-
vi,Dividend Yield Fund,8,"5,94,130",123.00,120.83,"10,251.98","10,280.24",-,-
vii,Value Fund/Contra Fund,22,"45,35,765","1,477.98",714.69,"90,344.90","90,826.00",-,-
viii,Focused Fund,26,"53,22,806","1,704.29","1,520.98","1,00,330.58","1,01,855.15",-,-
ix,Sectoral/Thematic Funds,123,"1,29,94,142","3,678.74","2,775.55","1,67,665.77","1,68,481.98",-,-
x,ELSS,42,"1,48,30,370","2,739.16","1,325.16","1,51,166.64","1,53,294.47",-,-
xi,Flexi Cap Fund,33,"1,25,87,368","3,567.89","2,562.26","2,41,786.88","2,44,240.64",-,-
"",Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),381,"9,62,07,019","29,433.08","16,886.57","15,06,281.15","15,17,670.88",-,-
"",,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,20,"5,19,088",539.12,428.95,"22,839.84","22,929.89",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,31,"53,06,549","2,350.54","1,896.42","1,55,605.86","1,57,862.53",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,27,"44,33,648","3,063.46","3,281.29","1,92,687.82","1,95,241.45",-,-
iv,Multi Asset Allocation Fund,11,"10,05,254","2,489.83",308.13,"25,933.99","25,537.31",-,-
v,Arbitrage Fund,26,"4,62,351","7,298.17","5,243.58","76,803.14","89,624.45",-,-
vi,Equity Savings Fund,22,"3,63,281",451.81,542.57,"16,748.80","17,482.99",2,25.81
"",Sub Total - III (i+ii+iii+iv+v+vi),137,"1,20,90,171","16,192.92","11,700.96","4,90,619.45","5,08,678.62",5,35.14
"",,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,26,"27,47,498",240.61,122.36,"17,790.56","17,941.67",-,-
ii,Childrens Fund,10,"29,20,516",119.41,48.25,"14,155.16","14,211.46",-,-
"",Sub Total - IV (i+ii),36,"56,68,014",360.03,170.61,"31,945.72","32,153.13",-,-
"",,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,152,"33,89,328","7,803.65","1,990.49","1,33,772.45","1,31,555.86",-,-
ii,GOLD ETF,11,"46,73,999",260.83,460.26,"21,835.92","21,842.38",-,-
iii,Other ETFs,152,"1,18,54,687","14,960.49","16,669.45","4,87,067.48","4,92,481.71",-,-
iv,Fund of funds investing overseas,49,"12,57,035",579.30,529.47,"22,137.95","21,388.07",-,-
"",Sub Total - V (i+ii+iii+iv),364,"2,11,75,049","23,604.27","19,649.68","6,64,813.79","6,67,268.03",-,-
"",,,,,,,,,
"",Total A-Open ended Schemes,"1,232","14,23,29,455","8,66,713.05","8,55,846.72","39,31,446.22","40,49,707.70",12,35.14
"",,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,102,"1,30,855",851.13,97.46,"20,854.59","20,394.04",-,-
ii,Capital Protection Oriented Schemes,7,"12,654",-,-,637.10,639.66,-,-
iii,Infrastructure Debt Fund,7,52,-,170.58,"1,956.90","1,952.40",-,-
iv,Other Debt Scheme,-,-,-,-,-,-,-,-
"",Sub Total (i+ii+iii+iv),116,"1,43,561",851.13,268.04,"23,448.60","22,986.10",-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"3,00,193",-,23.50,"3,517.22","3,573.24",-,-
ii,Other Equity Schemes,11,"67,549",-,51.42,"3,153.74","3,185.56",-,-
"",Sub Total (i+ii),30,"3,67,742",-,74.92,"6,670.96","6,758.80",-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total B -Close ended Schemes,146,"5,11,303",851.13,342.96,"30,119.56","29,744.90",-,-
"",,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,884",0.31,1.60,839.73,858.00,-,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
"",,,,,,,,,
"",Total C Interval Schemes,12,"2,884",0.31,1.60,839.73,858.00,-,-
"",,,,,,,,,
"",Grand Total,"1,390","14,28,43,642","8,67,564.50","8,56,191.29","39,62,405.52","40,80,310.60",12,35.14
"",,,,,,,,,
"",Fund of Funds Scheme (Domestic) **,75,"18,34,917","1,690.61",769.03,"61,320.83","60,686.88",-,-
Monthly Report for the month of December 2022,,,,,,,,,
Sr,Scheme Name,"No. ofSchemesas onDecember 31,2022","No. of Foliosas onDecember31, 2022","FundsMobilized forthe month ofDecember2022 (INR incrore)","Repurchase/Redemptionfor themonth ofDecember2022 (INR incrore)","Net AssetsUnderManagementas onDecember31, 2022 (INRin crore)","Average NetAssets UnderManagementfor themonthDecember2022 (INR incrore)","No. ofsegregatedportfolioscreatedas onDecember 31,2022","Net AssetsUnderManagement insegregated portfolioas onDecember31, 2022(INR incrore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,32,"6,20,274","4,29,847.81","4,31,101.80","1,02,637.18","1,13,957.09",-,-
ii,Liquid Fund,36,"17,81,537","3,51,016.20","3,64,868.20","3,98,344.68","4,40,562.30",-,-
iii,Ultra Short Duration Fund,25,"6,42,187","15,644.78","13,907.77","88,563.45","86,703.95",-,-
iv,Low Duration Fund,21,"9,73,985","6,920.36","7,323.68","93,993.26","94,310.26",1,-
v,Money Market Fund,22,"4,27,888","25,407.95","26,323.94","1,11,182.22","1,10,490.80",-,-
vi,Short Duration Fund,25,"5,17,483","3,891.16","4,674.37","93,742.77","94,936.94",-,-
vii,Medium Duration Fund,15,"2,53,843",384.51,"2,184.79","26,075.67","26,878.23",3,-
viii,Medium to Long Duration Fund,12,"1,06,888",65.64,135.33,"8,822.11","8,847.85",-,-
ix,Long Duration Fund,5,"31,675",337.36,13.01,"3,458.44","3,275.36",-,-
x,Dynamic Bond Fund,22,"2,17,883",615.27,960.88,"22,689.03","22,947.42",-,-
xi,Corporate Bond Fund,20,"6,16,661","2,604.49","3,317.52","1,15,652.11","1,16,095.72",-,-
xii,Credit Risk Fund,15,"2,51,057",284.89,560.86,"25,352.03","25,460.98",3,-
xiii,Banking and PSU Fund,23,"3,03,474",652.81,"2,005.53","74,252.25","74,772.95",-,-
xiv,Gilt Fund,22,"1,69,867",433.40,434.76,"16,318.62","16,196.12",-,-
xv,Gilt Fund with 10 year constant duration,5,"42,357",55.40,56.54,"1,591.96","1,593.70",-,-
xvi,Floater Fund,12,"2,45,907","1,547.95","3,787.73","58,866.94","60,197.02",-,-
"","Sub Total - I(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",312,"72,02,966","8,39,709.97","8,61,656.70","12,41,542.70","12,97,226.70",7,-
"",,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,16,"38,12,088","1,951.77","1,275.63","65,730.95","66,141.46",-,-
ii,Large Cap Fund,31,"1,28,95,270","3,602.80","3,629.17","2,42,847.43","2,46,296.72",-,-
iii,Large & Mid Cap Fund,26,"75,67,749","2,773.61","1,584.11","1,27,753.26","1,28,966.10",-,-
iv,Mid Cap Fund,29,"1,01,78,944","4,488.27","2,526.00","1,84,723.17","1,86,407.36",-,-
v,Small Cap Fund,24,"1,00,99,288","3,940.30","1,695.53","1,30,335.99","1,30,408.76",-,-
vi,Dividend Yield Fund,8,"5,91,575",133.14,123.75,"10,231.45","10,369.24",-,-
vii,Value Fund/Contra Fund,22,"44,53,986","1,604.86",956.81,"90,703.14","91,253.38",-,-
viii,Focused Fund,26,"53,12,917","1,659.15","1,823.47","1,03,431.93","1,05,009.83",-,-
ix,Sectoral/Thematic Funds,123,"1,29,03,923","3,719.09","3,922.68","1,68,659.80","1,70,862.13",-,-
x,ELSS,42,"1,46,03,730","2,195.95","1,631.90","1,54,558.10","1,56,363.03",-,-
xi,Flexi Cap Fund,33,"1,25,19,930","3,722.59","3,319.09","2,46,037.84","2,49,085.27",-,-
"",Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),380,"9,49,39,400","29,791.52","22,488.13","15,25,013.05","15,41,163.30",-,-
"",,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,20,"5,17,176",575.29,444.80,"22,820.51","22,840.31",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,31,"52,84,156","2,361.93","2,302.83","1,58,349.99","1,60,240.23",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,27,"44,22,908","3,316.64","3,729.99","1,94,452.62","1,96,696.68",-,-
iv,Multi Asset Allocation Fund,10,"9,06,953","2,076.22",364.80,"23,904.36","24,200.85",-,-
v,Arbitrage Fund,26,"4,68,208","6,976.65","6,093.36","74,722.26","86,794.93",-,-
vi,Equity Savings Fund,22,"3,62,710",509.17,624.87,"16,825.94","17,570.97",2,25.81
"",Sub Total - III (i+ii+iii+iv+v+vi),136,"1,19,62,111","15,815.90","13,560.65","4,91,075.67","5,08,343.97",5,35.14
"",,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
